date,time,volume,open,close,min,max
03/29/2012,15:48:01,170.73,1.32633,1.32633,1.326225,1.326475
03/29/2012,15:49:01,124.62,1.32632,1.32649,1.32627,1.32657
03/29/2012,15:50:01,89.04,1.32651,1.32635,1.326345,1.326525
03/29/2012,15:51:01,179.04,1.326345,1.32632,1.326095,1.326345
03/29/2012,15:52:01,149.12,1.32633,1.326295,1.326195,1.326335
03/29/2012,15:53:01,113.5,1.326295,1.32644,1.326295,1.32646
03/29/2012,15:54:01,93.53,1.326455,1.326555,1.32642,1.326555
03/29/2012,15:55:01,125.94,1.32656,1.32665,1.32654,1.32675
03/29/2012,15:56:01,98.03,1.32664,1.32655,1.326535,1.326675
03/29/2012,15:57:01,135.14,1.32651,1.326545,1.32645,1.326555
03/29/2012,15:58:01,167.75,1.326535,1.32656,1.32647,1.32668
03/29/2012,15:59:01,185.58,1.32657,1.32643,1.326375,1.326575
03/29/2012,16:00:01,136.89,1.32643,1.32635,1.32615,1.326445
03/29/2012,16:01:01,145.66,1.326345,1.326445,1.326345,1.32664
03/29/2012,16:02:01,179.23,1.326455,1.326635,1.32642,1.326695
03/29/2012,16:03:01,145.89,1.326635,1.32675,1.326595,1.32676
03/29/2012,16:04:01,208.28,1.326745,1.32685,1.326415,1.32685
03/29/2012,16:05:01,204.25,1.326845,1.326955,1.326835,1.32724
03/29/2012,16:06:01,157.73,1.32696,1.32697,1.326945,1.32724
03/29/2012,16:07:01,169.63,1.326975,1.32744,1.326975,1.32744
03/29/2012,16:08:01,125.06,1.327445,1.327345,1.32732,1.327445
03/29/2012,16:09:01,153.83,1.32733,1.327325,1.327275,1.327445
03/29/2012,16:10:01,128.58,1.327325,1.32714,1.327135,1.327355
03/29/2012,16:11:01,189.53,1.327135,1.3271,1.32706,1.327145
03/29/2012,16:12:01,200.15,1.32709,1.32702,1.32702,1.32723
03/29/2012,16:13:01,126.38,1.327025,1.327,1.32692,1.327035
03/29/2012,16:14:01,99.88,1.32701,1.32702,1.32693,1.32707
03/29/2012,16:15:01,192.25,1.32703,1.326925,1.32692,1.327145
03/29/2012,16:16:01,194.56,1.326925,1.32665,1.32665,1.32708
03/29/2012,16:17:01,126.05,1.326645,1.32683,1.326645,1.32691
03/29/2012,16:18:01,114.12,1.32682,1.32679,1.326705,1.32682
03/29/2012,16:19:01,186.92,1.326795,1.32662,1.3266,1.3268
03/29/2012,16:20:01,138.26,1.32663,1.326575,1.326435,1.32663
03/29/2012,16:21:01,141.66,1.32657,1.32675,1.32657,1.32684
03/29/2012,16:22:01,159.6,1.32674,1.32691,1.32673,1.32714
03/29/2012,16:23:01,87.32,1.32693,1.32675,1.3267,1.32693
03/29/2012,16:24:01,143.76,1.32674,1.326835,1.326625,1.326955
03/29/2012,16:25:01,77.5,1.326835,1.326945,1.326835,1.326965
03/29/2012,16:26:01,39.41,1.326945,1.32684,1.32684,1.326945
03/29/2012,16:27:01,98.28,1.32684,1.326715,1.3267,1.32686
03/29/2012,16:28:01,186.95,1.326715,1.32679,1.326695,1.32693
03/29/2012,16:29:01,256.46,1.32679,1.326235,1.326045,1.32679
03/29/2012,16:30:01,162.36,1.32621,1.32626,1.325945,1.32626
03/29/2012,16:31:01,137.65,1.32626,1.32644,1.326225,1.326485
03/29/2012,16:32:01,117.66,1.326425,1.326365,1.32634,1.326425
03/29/2012,16:33:01,169.93,1.326365,1.32614,1.326075,1.326365
03/29/2012,16:34:01,186.6,1.32613,1.326245,1.32613,1.32628
03/29/2012,16:35:01,186.8,1.326285,1.32619,1.326155,1.32632
03/29/2012,16:36:01,126.56,1.326185,1.326285,1.326185,1.32633
03/29/2012,16:37:01,146.76,1.3263,1.32648,1.32624,1.32649
03/29/2012,16:38:01,179.57,1.32648,1.3268,1.32648,1.326845
03/29/2012,16:39:01,201.41,1.32679,1.32686,1.326635,1.32691
03/29/2012,16:40:01,154.28,1.326875,1.326845,1.32675,1.32692
03/29/2012,16:41:01,139.49,1.326845,1.32695,1.326835,1.32703
03/29/2012,16:42:01,147.08,1.32695,1.327145,1.32695,1.327175
03/29/2012,16:43:01,122.73,1.32715,1.32739,1.327055,1.32739
